	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	
0	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	0
1	|																																																	|	1
2	|																																																	|	2
3	|																																																	|	3
4	|																																																	|	4
5	|																																																	|	5
6	|																																																	|	6
7	|																																																	|	7
8	|																																																	|	8
9	|																																																	|	9
10	|																																																	|	10
11	|																																																	|	11
12	|																																																	|	12
13	|																																																	|	13
14	|																																																	|	14
15	|																																																	|	15
16	|																																																	|	16
17	|																																																	|	17
18	|																																																	|	18
19	|																																																	|	19
20	|																																																	|	20
21	|																																																	|	21
22	|																																																	|	22
23	|																																																	|	23
24	|																																																	|	24
25	|																																																	|	25
26	|																																																	|	26
27	|																																																	|	27
28	|																																																	|	28
29	|																																																	|	29
30	+	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	+	30
31						S		U		P		E		R			E		D		I		T		O		R			D		E			M		A		P		A		S								31
32	E	S	P	A	C	O	:		T	R	O	C	A		O		C	A	R	A	C	T	E	R																											32
33						1	:		?																				S	:		S	A	L	V	A	R		M	A	P	A									33
34						2	:		?																				Q	:		S	A	I	R																34
35						3	:		?																																										35
36						4	:		?																														P	o	s	X	:		9	9	9				36
37						5	:		?																														P	o	s	Y	:		9	9	9				37
																																																			39
																																																			40
